id,identifier,category_id,cost,fling_power,fling_effect_id
975,ultranecrozium-z--bag,23,0,,
976,mimikium-z--bag,23,0,,
977,lycanium-z--bag,23,0,,
978,kommonium-z--bag,23,0,,
979,z-power-ring,23,0,,
980,pink-petal,23,0,,
981,orange-petal,23,0,,
982,blue-petal,23,0,,
983,red-petal,23,0,,
984,green-petal,23,0,,
985,yellow-petal,23,0,,
986,purple-petal,23,0,,
987,rainbow-flower,23,0,,
988,surge-badge,23,0,,
989,n-solarizer--merge,23,0,,
990,n-lunarizer--merge,23,0,,
991,n-solarizer--split,23,0,,
992,n-lunarizer--split,23,0,,
993,ilimas-normalium-z,23,0,,
994,left-poke-ball,23,0,,
995,roto-hatch,23,0,,
996,roto-bargain,23,0,,
997,roto-prize-money,23,0,,
998,roto-exp-points,23,0,,
999,roto-friendship,23,0,,
1000,roto-encounter,23,0,,
1001,roto-stealth,23,0,,
1002,roto-hp-restore,23,0,,
1003,roto-pp-restore,23,0,,
1004,roto-boost,23,0,,
1005,roto-catch,23,0,,
